"PROVIDER_ID","Std_Outcomes_Mortality_score","Outcomes_Mortality_cnt","Std_Outcomes_Safety_score","Outcomes_Safety_cnt","Std_Outcomes_Readmission_score","Outcomes_Readmission_cnt","Std_PatientExp_score","Patient_Experience_cnt","Std_Process_score","Process_cnt","std_weight_Mortality","std_weight_Safety","std_weight_Readmission","std_weight_PatientExperience","std_weight_Process","weight_Outcomes_Mortality","weight_Outcomes_Safety","weight_Outcomes_Readmission","weight_PatientExperience","weight_Process","summary_score","Total_measure_group_cnt","MortSafe_Group_cnt","report_indicator","cnt_grp","star"
"020024",-0.0943907610666482,6,-0.983980337157063,6,-1.60205547077329,9,0.437744464037512,15,-0.429931758527956,9,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.544981874114442,5,2,1,"3) # of groups=5",2
"020026",-0.060289609611048,7,-1.65597050710243,7,0.156856135672207,7,-0.902767094647184,15,0.302023598603633,6,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.505434804819024,5,2,1,"3) # of groups=5",2
"021301",NA,0,NA,0,NA,0,NA,0,0.167710259579181,4,0.22,0.22,0.22,0.22,0.12,NA,NA,NA,NA,1,0.167710259579181,1,0,0,"",NA
"021302",NA,0,NA,0,NA,0,NA,0,0.616383460226737,4,0.22,0.22,0.22,0.22,0.12,NA,NA,NA,NA,1,0.616383460226737,1,0,0,"",NA
"021304",-0.0887330555420189,1,NA,0,0.957020575844511,1,NA,0,1.04793424780202,3,0.22,0.22,0.22,0.22,0.12,0.392857142857143,NA,0.392857142857143,NA,0.214285714285714,0.565670293219269,1,0,0,"",NA
"021305",NA,0,NA,0,0.706207472388479,1,NA,0,1.22317809619942,2,0.22,0.22,0.22,0.22,0.12,NA,NA,0.647058823529412,NA,0.352941176470588,0.888667692557046,0,0,0,"",NA
"021306",0.485299273698785,2,NA,0,1.26676184602873,2,0.897490085631785,5,0.54579774900292,5,0.22,0.22,0.22,0.22,0.12,0.282051282051282,NA,0.282051282051282,0.282051282051282,0.153846153846154,0.831278198794098,2,0,0,"",NA
"021307",NA,0,NA,0,NA,0,NA,0,1.25643800222984,2,0.22,0.22,0.22,0.22,0.12,NA,NA,NA,NA,1,1.25643800222984,0,0,0,"",NA
"021308",-0.0541228992709315,2,NA,0,1.39287325207378,4,NA,0,2.58359174731276,2,0.22,0.22,0.22,0.22,0.12,0.392857142857143,NA,0.392857142857143,NA,0.214285714285714,1.07956444159671,1,0,0,"",NA
"021309",0.880308989902137,1,NA,0,0.204581265476417,1,NA,0,1.35066515870006,2,0.22,0.22,0.22,0.22,0.12,0.392857142857143,NA,0.392857142857143,NA,0.214285714285714,0.715635134334445,0,0,0,"",NA
"021310",NA,0,NA,0,NA,0,NA,0,0.333868478831089,2,0.22,0.22,0.22,0.22,0.12,NA,NA,NA,NA,1,0.333868478831089,0,0,0,"",NA
