PROVIDER_ID,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_PatientExperience,std_weight_Readmission,std_weight_Mortality,std_weight_safety,std_weight_Process,weight_PatientExperience,weight_Outcomes_Readmission,weight_Outcomes_Mortality,weight_Outcomes_Safety,weight_Process,summary_score,Outcomes_Mortality_cnt,Outcomes_safety_cnt,Outcomes_Readmission_cnt,Patient_Experience_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,report_indicator,cnt_grp,star
010169,0.3750681403,1.0437575242,0.7032022721,1.2130347701,-1.270245308,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.5812843586,2,2,4,8,6,3,0,0,,
010173,0.1145687585,-0.334142973,0.6627216898,1.9542688199,-0.710134583,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,0.4422154351,1,2,2,8,6,2,0,0,,
010174,,-0.883300037,,,0.2567576395,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,-0.480926739,0,0,2,0,6,1,0,0,,
010175,,0.1185595692,,,-0.221504997,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,-0.001463219,0,0,1,0,6,1,0,0,,
01019F,1.7929788649,2.1062979095,-0.074238012,-0.723198264,,0.22,0.22,0.22,0.22,0.12,0.25,0.25,0.25,0.25,,0.7754601245,3,1,4,8,0,3,1,1,1) # of groups=3,4
011300,,0.333298549,,,1.2700030865,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,0.6639001505,0,0,1,0,2,0,0,0,,
011302,,-0.096179411,,,0.213946879,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,0.0132769269,0,0,1,0,4,1,0,0,,
011304,,,,,2.0186277776,0.22,0.22,0.22,0.22,0.12,,,,,1,2.0186277776,0,0,0,0,2,0,0,0,,
011305,-1.453849887,-0.568910758,-1.155797337,1.7999277993,0.1954132634,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.279849048,2,2,4,8,7,3,0,0,,
011306,,-0.225919223,,,0.0996032824,0.22,0.22,0.22,0.22,0.12,,0.6470588235,,,0.3529411765,-0.111028927,0,0,2,0,4,1,0,0,,
020001,-0.11253253,0.2889987286,-0.431064116,0.0129323453,-0.663142427,0.22,0.22,0.22,0.22,0.12,0.22,0.22,0.22,0.22,0.12,-0.132743517,7,8,11,8,9,5,2,1,3) # of groups=5,3
