"State","Year","Avg ASC-9 State Rate","Median ASC-9 State Rate","Avg ASC-11 State Rate","Median ASC-11 State Rate","ASC-12 Better","ASC-12 No Different","ASC-12 Worse","ASC-12 Too Small","Avg ASC-13 State Rate","Median ASC-13 State Rate","Avg ASC-14 State Rate","Median ASC-14 State Rate","ASC-17 Better","ASC-17 No Different","ASC-17 Worse","ASC-17 Too Small","ASC-18 Better","ASC-18 No Different","ASC-18 Worse","ASC-18 Too Small","Avg ASC-20 State Rate"
OH,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),85.60
OK,2022,91.66,92.50,93.17,93.17,0,24,0,0,96.31,96.40,0.28,0.28,0,11,0,9,0,4,0,5,N/A (5)
OK,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),75.70
OR,2022,92.94,93.28,100.00,100.00,0,26,0,3,98.53,99.26,0.19,0.16,0,27,0,24,0,7,0,8,N/A (5)
OR,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),93.20
PA,2022,86.55,91.35,99.70,100.00,0,107,0,4,91.19,99.56,0.27,0.22,0,58,0,43,0,27,0,18,N/A (5)
PA,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),92.50
PR,2022,N/A (5),N/A (5),N/A (5),N/A (5),0,2,0,1,95.47,100.00,1.14,1.27,0,3,0,5,0,1,0,5,N/A (5)
PR,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),99.90
RI,2022,90.96,88.59,N/A (5),N/A (5),0,7,0,0,98.47,99.04,0.25,0.27,0,3,0,1,0,1,0,0,N/A (5)
RI,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),98.70
SC,2022,91.65,95.53,100.00,100.00,0,35,0,1,87.19,100.00,0.20,0.16,0,24,0,12,0,9,0,7,N/A (5)
SC,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),86.60
SD,2022,84.29,84.40,N/A (5),N/A (5),0,4,0,1,91.74,95.43,0.19,0.13,0,1,0,2,0,1,0,1,N/A (5)
SD,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),75.10
TN,2022,95.14,97.06,100.00,100.00,0,42,0,6,99.60,100.00,0.28,0.20,0,41,0,17,0,10,0,11,N/A (5)
TN,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),86.50
TX,2022,73.44,87.50,97.40,100.00,0,160,2,21,96.73,100.00,0.27,0.19,0,125,0,90,0,38,1,42,N/A (5)
TX,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),86.00
UT,2022,93.77,97.92,100.00,100.00,0,14,0,1,99.15,100.00,0.19,0.19,0,24,0,5,0,8,0,4,N/A (5)
UT,2022_Q4,N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),N/A (5),86.20
VA,2022,81.82,94.03,N/A (5),N/A (5),0,17,0,0,98.69,99.90,0.28,0.22,0,31,0,8,0,13,0,11,N/A (5)
