"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
050503,MSPB-1,0.968609,,01/01/2019,12/31/2019
050506,MSPB-1,0.982734,,01/01/2019,12/31/2019
050510,MSPB-1,0.866447,,01/01/2019,12/31/2019
050512,MSPB-1,0.880455,,01/01/2019,12/31/2019
050515,MSPB-1,0.818542,,01/01/2019,12/31/2019
050516,MSPB-1,0.953112,,01/01/2019,12/31/2019
050517,MSPB-1,1.108042,,01/01/2019,12/31/2019
050523,MSPB-1,0.965834,,01/01/2019,12/31/2019
050526,MSPB-1,1.111269,,01/01/2019,12/31/2019
050528,MSPB-1,0.898973,,01/01/2019,12/31/2019
050534,MSPB-1,0.946899,,01/01/2019,12/31/2019
050537,MSPB-1,0.930873,,01/01/2019,12/31/2019
050541,MSPB-1,0.955936,,01/01/2019,12/31/2019
050543,MSPB-1,0.924295,,01/01/2019,12/31/2019
050546,MSPB-1,N/A,1,01/01/2019,12/31/2019
050548,MSPB-1,N/A,1,01/01/2019,12/31/2019
050549,MSPB-1,1.007465,,01/01/2019,12/31/2019
050551,MSPB-1,1.089580,,01/01/2019,12/31/2019
050557,MSPB-1,0.963989,,01/01/2019,12/31/2019
050561,MSPB-1,0.843215,,01/01/2019,12/31/2019
050567,MSPB-1,0.965328,,01/01/2019,12/31/2019
050568,MSPB-1,0.907904,,01/01/2019,12/31/2019
050570,MSPB-1,1.098895,,01/01/2019,12/31/2019
050573,MSPB-1,0.946187,,01/01/2019,12/31/2019
050580,MSPB-1,1.168180,,01/01/2019,12/31/2019
050581,MSPB-1,1.130107,,01/01/2019,12/31/2019
050586,MSPB-1,0.943478,,01/01/2019,12/31/2019
050588,MSPB-1,1.184497,,01/01/2019,12/31/2019
050589,MSPB-1,1.078145,,01/01/2019,12/31/2019
050590,MSPB-1,0.930155,,01/01/2019,12/31/2019
050597,MSPB-1,1.181027,,01/01/2019,12/31/2019
050599,MSPB-1,0.967310,,01/01/2019,12/31/2019
